id,X_recoid_,X_someid_,X_firstname_,X_lastname_,X_gender_,X_birth_date_,X_email_,X_mnumber_,X_hnumber_,X_addr1_,X_addr2_,X_cityname_,X_postcode_,X_county_,X_nis_,X_b_year_,X_b_month_,X_b_day_,Weight,is_match
2334,39699,9.75E+17,Beverly Paucek,Gottlieb,female,11/5/1980,weimann.mariela@morar.com,NA,2060507394,Apt. 574,Lynch Tunnel,,DB57 87CC,Wyoming,BA1563328,80,11,5,,0
9182,62007,4.33E+17,Cordie Runolfsdottir,Champlin,female,11/5/1980,walker.colt@keeling.com,5367130206,7448866268,Suite 068,Schowalter Trail,New Camilaville,DA09 45BC,Washington,CA0397098,80,11,5,NA,
,,,,,,,,,,,,,,,,,,,,
47222,41995,4.59E+17,Patience Koch,Boyer,female,4/9/1983,obrakus@hotmail.com,NA,NA,Apt. 109,Durgan Ramp,,DD6 53CD,,CB9720399,83,4,9,,0
87819,155021,3.33E+17,Queen Hayes,Heidenreich,female,4/9/1983,lesley.bahringer@hotmail.com,7073232971,5534975899,Suite 720,Kilback Road,Darionton,CB7 97DA,,DB7626609,83,4,9,NA,
,,,,,,,,,,,,,,,,,,,,
50644,72601,2.45E+17,Pietro Flatley,Morar,male,5/18/1971,kari61@wuckert.com,NA,NA,Apt. 872,Zachariah Cape,Port Kendrick,,Louisiana,DC1015013,71,5,18,,0
83205,25134 D,8.25E+17,Jalen Windler,Herzog,male,5/18/1971,velda.koch@gmail.com,9317324183,7963745353,Suite 350,Kurt Fall,New Gabrielberg,,Idaho,BA7822403,71,5,18,NA,
,,,,,,,,,,,,,,,,,,,,
70461,142185 D,3.20E+17,Major Schmitt,Huels,male,2/5/1972,,NA,NA,Suite 719,Ignacio Meadows,,,Alaska,,72,2,5,,0
72035,135113 D,9.39E+17,Earnestine Cremin,Boehm,female,2/5/1972,oabernathy@yahoo.com,NA,6456769738,Suite 616,Cody Shoals,North Valerie,,West Virginia,,72,2,5,NA,
,,,,,,,,,,,,,,,,,,,,
35371,92228 D,9.56E+17,Easter Yost V,Harber,male,5/1/1984,violet44@yahoo.com,5778344050,7026840347,Suite 110,D'Amore Loaf,Hagenesview,,,,84,5,1,,0
85699,46979 D,8.69E+17,Roberta Bins,Johns,,5/1/1984,gweimann@yahoo.com,1895842279,5383334201,Apt. 338,Shany Divide,,,,CD1251181,84,5,1,NA,
,,,,,,,,,,,,,,,,,,,,
60940,5804 D,1.45E+17,Gilberto Kuphal,Pollich,male,1/23/1977,ruecker.audra@hotmail.com,8416201251,3442045138,,Carter Turnpike,Nolanstad,,,,77,1,23,,0
70100,114215 D,5.68E+17,Davion Turcotte,Marvin,male,1/23/1977,lacy37@gmail.com,9039656406,NA,Apt. 296,Conrad Overpass,West Camrenburgh,,,,77,1,23,NA,
,,,,,,,,,,,,,,,,,,,,
13606,70436 D,5.93E+17,Prof. Danika Schmidt II,Powlowski,female,1/15/1987,,8058698077,1074066617,Suite 566,Heidenreich Streets,,BA70 88CD,West Virginia,DC0266862,87,1,15,,0
43318,81064 D,6.68E+17,Kamron Willms,Mohr,male,1/15/1987,dorian.blanda@herzog.com,NA,2555001132,Suite 974,Maryse Cape,,,District of Columbia,DB1970743,87,1,15,NA,
,,,,,,,,,,,,,,,,,,,,
20898,124817 D,8.82E+17,Mrs. Jennie Senger,Lueilw,female,10/18/1974,jany.kunde@yahoo.com,7830658454,7058261132,Suite 166,Lorna Forest,,CC29 96DD,,CC1358443,74,10,18,,0
