"","id","X_recoid_","X_someid_","X_firstname_","X_lastname_","X_gender_","X_birth_date_","X_email_","X_mnumber_","X_hnumber_","X_addr1_","X_addr2_","X_cityname_","X_postcode_","X_county_","X_nis_","X_b_year_","X_b_month_","X_b_day_","is_match","Class","Weight"
"1","   65","123538 D","8.467529e+17","Prof. Dovie Weissnat DDS","Collier","","1974-05-28","koch.cali@hotmail.com","5461293541"," 324225950","Suite 580","Gideon Summit","Port Kaelaside","AB5 0AD","Tennessee","CC5692262","74"," 5","28","","",""
"2","45352","123538","2.220000e+17","Prof. Dovie Weissnat DDS","Collier","female","1974-05-28","koch.cali@hotmail.com","5461293541"," 324225950","Suite 580","Gideon Summit","Port Kaelaside","AB5 0AD","Tennessee","CC5692262","74"," 5","28",NA,"L","1.0000000"
"3","","","","","","","","","","","","","","","","","","","","","",""
"4","  132","93199","1.480000e+17","Cathy Bogisich","Denesik","female","1970-03-23","kayden.sanford@treutel.org","2614723155","3543954648","Apt. 506","Jermaine Union","Port Paris","AA80 80AA","Maine","CA3040901","70"," 3","23","","",""
"5","27270","93199 D","7.565588e+17","Cathy Bogisich","Denesik","","1970-03-23","kayden.sanford@treutel.org","2614723155","3543954648","Apt. 506","Jermaine Union","Port Paris","AA80 80AA","Maine","CA3040901","70"," 3","23",NA,"L","1.0000000"
"6","","","","","","","","","","","","","","","","","","","","","",""
"7","  147","158284","3.580000e+17","Torrey Raynor","Steuber","male","1985-02-26","lavina.adams@gmail.com","6835340484","9141379617","Suite 030","Jacobs Camp","West Titusburgh","AC3 0AC","Oklahoma","BC9709790","85"," 2","26","","",""
"8","16855","158284 D","8.171855e+17","Torrey Raynor","Steuber","male","1985-02-26","lavina.adams@gmail.com","6835340484","9141379617","Suite 030","Jacobs Camp","West Titusburgh","AC3 0AC","Oklahoma","BC9709790","85"," 2","26",NA,"L","1.0000000"
"9","","","","","","","","","","","","","","","","","","","","","",""
"10","  276","169840 D","7.328796e+17","Spencer Windler","Beier","","1975-07-22","cheyanne.lynch@schultz.com","9980206340","4297209991","Suite 840","Destiney Gateway","New Urban","DA90 6AD","Idaho","CA9742478","75"," 7","22","","",""
"11","26184","169840","8.160000e+17","Spencer Windler","Beier","male","1975-07-22","cheyanne.lynch@schultz.com","9980206340","4297209991","Suite 840","Destiney Gateway","New Urban","DA90 6AD","Idaho","CA9742478","75"," 7","22",NA,"L","1.0000000"
"12","","","","","","","","","","","","","","","","","","","","","",""
"13","  375","40508 D","5.741437e+17","Hettie D'Amore I","Morar","","1970-05-15","maxie.trantow@padberg.com"," 865462176","9574808143","Apt. 782","Solon Passage","Port Katharina","CD4 0BC","Tennessee","BC8258751","70"," 5","15","","",""
