"","id","X_recoid_","X_someid_","X_firstname_","X_lastname_","X_gender_","X_birth_date_","X_email_","X_mnumber_","X_hnumber_","X_addr1_","X_addr2_","X_cityname_","X_postcode_","X_county_","X_nis_","X_b_year_","X_b_month_","X_b_day_","is_match","Class","Weight"
"1"," 1096","165403","7.710000e+17","Charlie Nolan","Ankunding","male","1980-10-20","conn.calista@yahoo.com","9224449909",NA,"Apt. 716","Hipolito Grove","Kesslerchester","DA16 09CA","Maine","CB9377102","80","10","20","","",""
"2","14176","165403 D","9.797963e+17","Charlie Nolan","Ankunding","","1980-10-20","conn.calista@yahoo.com","9224449909","9508934869","Apt. 716","Hipolito Grove","Kesslerchester","DA16 09CA","Maine","CB9377102","80","10","20",NA,"L","1.0000000"
"3","","","","","","","","","","","","","","","","","","","","","",""
"4"," 1136","151705 D","2.452357e+17","Dr. Maxine Conroy","Schumm","male","1988-09-24","vern.ernser@jaskolski.net","4447572602","4343181833","Suite 773","Bria Way","Alvaborough","BC7 08DB","New Mexico","BA8470030","88"," 9","24","","",""
"5","17965","151705","9.750000e+17","Dr. Maxine Conroy","Schumm","male","1988-09-24","vern.ernser@jaskolski.net","4447572602",NA,"Suite 773","Bria Way","Alvaborough","BC7 08DB","New Mexico","BA8470030","88"," 9","24",NA,"L","1.0000000"
"6","","","","","","","","","","","","","","","","","","","","","",""
"7"," 1393","12931 D","3.975785e+17","Louisa Pacocha","Metz","","1981-02-11","keeling.lilly@yahoo.com","4943174050","2794550178","Suite 208","Durgan Lane","Erynville","AA75 24DD","Connecticut","DD2872035","81"," 2","11","","",""
"8","15894","12931","2.890000e+17","Louisa Pacocha","Metz","male","1981-02-11","keeling.lilly@yahoo.com","4943174050","2794550178","Suite 208","Durgan Lane","Erynville","AA75 24DD","Connecticut","DD2872035","81"," 2","11",NA,"L","1.0000000"
"9","","","","","","","","","","","","","","","","","","","","","",""
"10"," 1497","171306 D","2.427185e+17","Elliot Hettinger","Cronin","","1972-08-23","cheyenne84@schmidt.com","9297477257","5433968099","Suite 536","Cassin Hill","Lake Marlenfort","BB72 4CA","Louisiana","DC5074208","72"," 8","23","","",""
"11","16875","171306","3.130000e+17","Elliot Hettinger","Cronin","male","1972-08-23","cheyenne84@schmidt.com","9297477257","5433968099","Suite 536","Cassin Hill","Lake Marlenfort","BB72 4CA","Louisiana","DC5074208","72"," 8","23",NA,"L","1.0000000"
"12","","","","","","","","","","","","","","","","","","","","","",""
"13"," 1654","35664 D","9.424692e+17","Jalen Dickens","Bergstrom","","1970-03-26","nikolaus.aida@yahoo.com","2424452273","2150241164","Suite 943","Keenan Club","West Jeff","CB99 37AA","Delaware","CD5711105","70"," 3","26","","",""
"14","12219","35664","3.790000e+17","Jalen Dickens","Bergstrom","male","1970-03-26","nikolaus.aida@yahoo.com","2424452273","2150241164","Suite 943","Keenan Club","West Jeff","CB99 37AA","Delaware","CD5711105","70"," 3","26",NA,"L","1.0000000"
"15","","","","","","","","","","","","","","","","","","","","","",""
"16"," 1702","172046 D","8.487680e+17","Jovanny Heidenreich","Dickinson","male","1996-05-22","bkrajcik@yahoo.com","7056172155","9736397960","Suite 554","Alfreda Stream","East Kirstinstad","CA15 3AA","Pennsylvania","BA9584285","96"," 5","22","","",""
"17","15979","172046","7.170000e+17","Jovanny Heidenreich","Dickinson","male","1996-05-22","bkrajcik@yahoo.com","7056172155","9736397960","Suite 554","Alfreda Stream","East Kirstinstad","CA15 3AA","Pennsylvania","BA9584285","96"," 5","22",NA,"L","1.0000000"
"18","","","","","","","","","","","","","","","","","","","","","",""
"19"," 2158","34455","9.290000e+17","Lester Mohr","Klein","male","1994-04-29","kassulke.gwen@jakubowski.net","  57562323","2589584645","Apt. 520","Weber Gateway","Lake Giovanni","AC2 37AD","Arizona","CB2187627","94"," 4","29","","",""
"20","13017","34455 D","2.619318e+17","Lester Mohr","Klein","","1994-04-29","kassulke.gwen@jakubowski.net","  57562323","2589584645","Apt. 520","Weber Gateway","Lake Giovanni","AC2 37AD","Arizona","CB2187627","94"," 4","29",NA,"L","1.0000000"
"21","","","","","","","","","","","","","","","","","","","","","",""
"22"," 2470","60576","1.240000e+17","Pablo Wisoky","Rosenbaum","male","1997-02-09","dgottlieb@buckridge.net","4173810063","3881490004","Apt. 585","Bailee Lake","Pourosfurt","CD1 1AB","Indiana","AB4052032","97"," 2"," 9","","",""
"23"," 4627","60576 D","1.187298e+17","Pablo Wisoky","Rosenbaum","","1997-02-09","dgottlieb@buckridge.net","4173810063","3881490004","Apt. 585","Bailee Lake","Pourosfurt","CD1 1AB","Indiana","AB4052032","97"," 2"," 9",NA,"L","1.0000000"
"24","","","","","","","","","","","","","","","","","","","","","",""
"25"," 2550","110979 D","4.875843e+17","Brice Prosacco","Bergnaum","","1988-08-04","oswald.littel@hotmail.com"," 235791855","7153934876","Apt. 755","Dakota Gateway","Tomside","CD59 36AD","Missouri","AC8840837","88"," 8"," 4","","",""
"26"," 7530","110979","3.700000e+17","Brice Prosacco","Bergnaum","male","1988-08-04","oswald.littel@hotmail.com"," 235791855","7153934876","Apt. 755","Dakota Gateway","Tomside","CD59 36AD","Missouri","AC8840837","88"," 8"," 4",NA,"L","1.0000000"
"27","","","","","","","","","","","","","","","","","","","","","",""
"28"," 3634","98868","5.200000e+17","Ashtyn Parker","Feil","female","1971-06-05","malachi55@yahoo.com","6209556140","4740511681","Suite 750","Wintheiser Mountains","Kristoferfurt","AB0 39AA","Idaho","DA6163324","71"," 6"," 5","","",""
"29","12203","98868 D","1.845995e+17","Ashtyn Parker","Feil","female","1971-06-05","malachi55@yahoo.com","6209556140","4740511681","Suite 750","Wintheiser Mountains","Kristoferfurt","AB0 39AA","Idaho","DA6163324","71"," 6"," 5",NA,"L","1.0000000"
"30","","","","","","","","","","","","","","","","","","","","","",""
"31"," 3810","29361 D","3.637723e+17","Fermin Predovic DVM","Bednar","male","1995-11-18","mittie65@ebert.com","1978118387","6579120914","Suite 507","Emmy Plains","Riverchester","BD5 78AA","Arkansas","CD0804410","95","11","18","","",""
"32","19136","29361","3.930000e+17","Fermin Predovic DVM","Bednar","male","1995-11-18","mittie65@ebert.com","1978118387","6579120914","Suite 507","Emmy Plains","Riverchester","BD5 78AA","Arkansas","CD0804410","95","11","18",NA,"L","1.0000000"
