id,X_recoid_,X_someid_,X_firstname_,X_lastname_,X_gender_,X_birth_date_,X_email_,X_mnumber_,X_hnumber_,X_addr1_,X_addr2_,X_cityname_,X_postcode_,X_county_,X_nis_,X_b_year_,X_b_month_,X_b_day_,Weight,is_match
381,150753 D,8.15E+17,Mrs. Angelica Schumm,Fram,,9/7/1989,ygottlieb@breitenberg.com,1382759847,34940103,Apt. 657,Jazmyn Plain,New Maryam,,,BB9463151,89,9,7,,0
3568,158170,1.69E+17,Emmet Schmidt I,Grant,male,9/7/1989,zbatz@considine.com,1556585021,75354228,Apt. 337,Satterfield Freeway,New Sharonfort,DD6 81CC,New Hampshire,DC7054388,89,9,7,NA,
,,,,,,,,,,,,,,,,,,,,
546,192134,4.14E+17,Neil Feest III,Walter,male,6/26/1983,alvis39@gislason.com,2631879916,4022170024,Suite 061,Schinner Creek,West Prudence,AC7 69AA,West Virginia,DA3615447,83,6,26,,0
3735,153282,6.50E+17,Thomas Cremin,Schiller,male,6/26/1983,koepp.ada@hotmail.com,7071857500,5395608023,Apt. 340,Goyette Lakes,Lake Antoneberg,BA7 19AD,West Virginia,BB6512044,83,6,26,NA,
,,,,,,,,,,,,,,,,,,,,
3797,61989 D,6.91E+17,Lacey McClure Sr.,Mills,female,2/18/1989,twila71@gmail.com,3163750557,8668342791,Apt. 745,Mittie Fork,South Jaiden,,North Dakota,BD0500995,89,2,18,,0
4198,80953 D,7.63E+17,Lesley Bauch,Bradtk,,2/18/1989,olin89@lubowitz.org,6647211051,9921905546,Suite 783,Harvey Common,North Trentstad,,Utah,DB1098304,89,2,18,NA,
,,,,,,,,,,,,,,,,,,,,
639,48750,3.24E+17,Esteban Feeney IV,Treutel,male,7/13/1996,oliver.conn@gmail.com,NA,3830435653,,Wisoky Ridge,Port Ashleeborough,AA73 9CD,Texas,AA3467234,96,7,13,,0
1270,194724 C,7.86E+17,Emmie Hilpert,Waelchi,male,4/26/1997,aq@iaqltudfv.eyo,4351391439,1592809733,,Marcelo Court,Port Fritz,CA8 08CD,New York,BB3328899,96,7,13,NA,
,,,,,,,,,,,,,,,,,,,,
449,147872,4.39E+17,Dr. Jessika Moore MD,Harris,female,1/1/1972,witting.ibrahim@yahoo.com,5299566153,5631486279,Apt. 813,Hoeger Mountains,Port Haven,BA87 08CD,South Dakota,BA3711783,72,1,1,,0
