"recoid","someid","firstname","lastname","gender","birthdate","email","mnumber","hnumber","addr1","addr2","cityname","postcode","county","nis","b.year","b.month","b.day"
"157307",1.48e+17,"Dr. Earline Schowalter","Steuber","female","1997-06-29","leola.batz@gmail.com",2854569037,9731516924,"Apt. 804","Kunze Hills","Osinskiport","CA6 96AC","Louisiana","BC4583485",97,6,29
"66473",5.17e+17,"Tyrel Abbott","Wisozk","male","1976-06-26","isai56@hotmail.com",7036683488,4060892049,"Suite 347","Bryce Harbors","","CB0 14CB","California","DB3914282",76,6,26
"57371",7.52e+17,"Rogers Baumbach","Langworth","male","1976-11-18","rratke@altenwerth.com",3091409116,NA,"Suite 953","Hanna Skyway","North Edaland","BA00 9BD","Georgia","CB1866122",76,11,18
"111748",4.28e+17,"Cheyenne Kiehn","Barrows","female","1997-09-02","dina33@cummings.com",546818016,2109465549,"Apt. 393","Kendrick Mission","Armstrongmouth","DC2 6DC","Maryland","CA7626800",97,9,2
"32632 D",719438636776345728,"Adrain Berge","Connelly","male","1982-11-26","jadon27@jacobs.com",7382982951,5458319661,"Suite 352","Gregorio Locks","Lake Itzel","","New Mexico","",82,11,26
"57367",5.23e+17,"Dr. Allen Sauer IV","Mertz","male","1975-10-04","muller.lily@yahoo.com",586659900,8592185777,"Suite 626","Jazlyn Square","Riceborough","CC66 37CB","Maryland","CC7691247",75,10,4
"68418",6.43e+17,"Dr. Nathaniel Schaefer Sr.","Lind","male","1995-02-19","colleen.armstrong@hotmail.com",3440169116,4552959763,"Apt. 314","Ora Plains","North Felicity","BB35 76BC","New Mexico","AA8099631",95,2,19
"22871 C",125844574541732752,"Lolita Erdman","Bartoletti","male","1973-03-12","hfv@syq.ymq",5782716874,1930921466,"Apt. 075","Ratke Orchard","Fritschstad","AC8 82CB","","CC7681997",91,2,24
"44011",8.74e+17,"Nelda Beier","Kerluke","female","1988-12-06","ramona.mante@mraz.com",8005350621,1902846410,"Apt. 063","Hegmann Wells","East Peteland","AD13 0CD","New York","BC4837954",88,12,6
"20769 D",769571918778227456,"Dr. Rosamond Langworth","Rempe","female","1976-03-14","hand.ashtyn@rohan.com",3228748442,2493314656,"Apt. 435","Caterina Shoal","South Felixport","","Louisiana","AD7078216",76,3,14
"41930",5.39e+17,"Presley O'Reilly","Armstrong","male","1990-07-07","fay88@abshire.org",1090317634,9723350584,"Apt. 858","Lisette Isle","West Bernardo","CC8 63DB","New York","AB2034732",90,7,7
"139126",8.68e+17,"Nella Ullrich","West","female","1998-10-02","koss.maria@yahoo.com",9916037482,566491854,"Suite 266","Beryl Drive","Port Anika","CD8 19BC","Alabama","DC5300158",98,10,2
"146450",5.45e+17,"Teagan Schiller","Anderson","female","1981-01-01","merlin.marks@gmail.com",7303378214,8986504443,"Apt. 905","Jeramie Tunnel","Beattyton","CA06 9CA","Wisconsin","BB5109980",81,1,1
"167111 D",889115431812479488,"Richie Dickens DVM","Satterfield","male","1983-09-19","von.robbie@hotmail.com",1348844708,7243457391,"Suite 823","Purdy Neck","Gracielaton","BD6 8DB","Georgia","BA8608830",83,9,19
"123286",9.99e+17,"Prof. Bonnie Beier III","Little","female","1997-06-21","pwatsica@adams.com",2908805893,2624654678,"Apt. 602","Pfeffer Neck","Hodkiewiczborough","DB8 2DC","West Virginia","BA4695957",97,6,21
"156554 D",939279256564292224,"Frederik Rohan","Zulauf","","1998-03-29","jmills@yahoo.com",8492495601,2265682319,"Apt. 529","Russel Club","East Zacharyberg","DB99 91DC","Tennessee","DC2427973",98,3,29
"172742",6.49e+17,"Mckenzie Krajcik","Dach","male","1976-12-17","funk.rhea@heathcote.com",191468755,6143914910,"Suite 765","Batz Trail","Lubowitzside","DD87 7DC","Kentucky","BC0250155",76,12,17
"2826",6.99e+17,"Gabe Nitzsche","Bruen","male","1976-08-11","chance15@kris.com",152970724,2911103069,"Suite 454","Hattie Run","Hermanport","DD7 27DC","Louisiana","AD5924860",76,8,11
"22498",5.33e+17,"Dr. Yazmin Bradtke","Ankunding","female","1974-09-28","wlynch@yahoo.com",9859705476,1085684991,"Suite 842","Cummerata Unions","New Michaelafort","CB96 55AA","Massachusetts","DC6584901",74,9,28
"118036",9.86e+17,"Karlee McDermott","Kihn","female","1988-03-11","daniela.osinski@gmail.com",4951900830,6410084600,"Suite 746","Stevie Crest","Lake Everardostad","AB5 66BD","Maine","DB2454095",88,3,11
"193407",1.45e+17,"Dr. Andre Sipes IV","Hagenes","male","1989-10-06","bashirian.elnora@kirlin.com",6749673878,8989438667,"Suite 838","Ilene Junctions","Adolfoville","DD9 86AD","Georgia","AA8151699",89,10,6
"45995",9.63e+17,"Baylee Bogan","Mayert","male","1973-01-12","xsauer@gmail.com",7594504375,5267731016,"Apt. 333","Daniel Villages","D'Amoremouth","AD82 2AA","Vermont","AD6617425",73,1,12
