"","id","X_recoid_","X_someid_","X_firstname_","X_lastname_","X_gender_","X_birth_date_","X_email_","X_mnumber_","X_hnumber_","X_addr1_","X_addr2_","X_cityname_","X_postcode_","X_county_","X_nis_","X_b_year_","X_b_month_","X_b_day_","is_match","Class","Weight"
"1","   27","181838","9.820000e+17","Prof. Rodger Mertz II","Von","male","1983-10-30","madge22@mills.com","6711329326","3815315962","Suite 816","Leffler Meadow","Mayraborough","DA57 0BA","North Carolina","CC9586584","83","10","30","","",""
"2","35361","181838 D","9.762284e+17","Prof. Rodger Mertz II","Von","","1983-10-30","madge22@mills.com","6711329326","3815315962","Suite 816","Leffler Meadow","Mayraborough","DA57 0BA","North Carolina","CC9586584","83","10","30",NA,"L","1.0000000"
"3","","","","","","","","","","","","","","","","","","","","","",""
"4","   60","138822","4.290000e+17","Monserrate Pollich III","Armstrong","male","1998-08-05","karolann.stehr@hotmail.com","7885433752","4410285893","Apt. 118","Ferry Heights","Myronhaven","BB44 54DA","Wyoming","BD1364537","98"," 8"," 5","","",""
"5","93237","138822 D","3.153340e+17","Monserrate Pollich III","Armstrong","","1998-08-05","karolann.stehr@hotmail.com","7885433752","4410285893","Apt. 118","Ferry Heights","Myronhaven","BB44 54DA","Wyoming","BD1364537","98"," 8"," 5",NA,"L","1.0000000"
"6","","","","","","","","","","","","","","","","","","","","","",""
"7","   89","58202","2.640000e+17","Cordell Kunde I","Predovic","male","1995-01-03","emma.von@williamson.com","3946876427","9358789899","Apt. 762","Dagmar Stream","Greenfelderchester","BC51 81CC","Iowa","AB3458836","95"," 1"," 3","","",""
"8","87759","58202 D","4.325259e+17","Cordell Kunde I","Predovic","","1995-01-03","emma.von@williamson.com","3946876427","9358789899","Apt. 762","Dagmar Stream","Greenfelderchester","BC51 81CC","Iowa","AB3458836","95"," 1"," 3",NA,"L","1.0000000"
"9","","","","","","","","","","","","","","","","","","","","","",""
"10","  116","178813","9.250000e+17","Jamey Pagac","Cormier","male","1974-05-13","wgreen@gmail.com","4763804252","9857679675","Apt. 532","Willms Shore","Luettgenborough","DB22 13AC","Georgia","AC4719036","74"," 5","13","","",""
"11","58214","178813 D","9.468883e+17","Jamey Pagac","Cormier","","1974-05-13","wgreen@gmail.com",NA,"9857679675","Apt. 532","Willms Shore","Luettgenborough","DB22 13AC","Georgia","AC4719036","74"," 5","13",NA,"L","1.0000000"
"12","","","","","","","","","","","","","","","","","","","","","",""
"13","  124","26481","2.430000e+17","Elisha Hessel","Jenkins","female","1982-03-16","mbruen@gmail.com",NA,"2550823976","Suite 677","Taylor Causeway","Rathfort","DA4 1BB","Maryland","BC1988106","82"," 3","16","","",""
"14","62000","26481 D","7.898422e+17","Elisha Hessel","Jenkins","female","1982-03-16","mbruen@gmail.com","5297443290","2550823976","Suite 677","Taylor Causeway","Rathfort","DA4 1BB","Maryland","BC1988106","82"," 3","16",NA,"L","1.0000000"
"15","","","","","","","","","","","","","","","","","","","","","",""
"16","  308","107559 D","4.259839e+17","Ezequiel Bergnaum","Funk","male","1980-08-14","abbigail.franecki@hotmail.com","7166720024","1250410288","Suite 562","Bridgette Station","Port Marcia","CB8 7CD","South Carolina","BC8882052","80"," 8","14","","",""
"17","80216","107559","3.670000e+17","Ezequiel Bergnaum","Funk","male","1980-08-14","abbigail.franecki@hotmail.com","7166720024","1250410288","Suite 562","Bridgette Station","Port Marcia","CB8 7CD","South Carolina","BC8882052","80"," 8","14",NA,"L","1.0000000"
"18","","","","","","","","","","","","","","","","","","","","","",""
"19","  342","74076","2.880000e+17","Henri Shanahan IV","Ortiz","male","1975-02-07","bashirian.edgardo@lindgren.com","4610478519","5625175663","Apt. 482","Franecki Path","O'Haramouth","CB09 09DA","Nebraska","DB2267814","75"," 2"," 7","","",""
"20","49557","74076 D","1.957640e+17","Henri Shanahan IV","Ortiz","","1975-02-07","bashirian.edgardo@lindgren.com","4610478519","5625175663","Apt. 482","Franecki Path","O'Haramouth","CB09 09DA","Nebraska","DB2267814","75"," 2"," 7",NA,"L","1.0000000"
"21","","","","","","","","","","","","","","","","","","","","","",""
"22","  480","177152 D","4.348517e+17","Dahlia Effertz","Kshlerin","female","1994-02-16","chegmann@hotmail.com","9988939766","6176338391","Suite 111","Reyna Ramp","Violamouth","BD9 20BD","New Jersey","BA5530538","94"," 2","16","","",""
"23","15140","177152","6.270000e+17","Dahlia Effertz","Kshlerin","female","1994-02-16","chegmann@hotmail.com","9988939766","6176338391","Suite 111","Reyna Ramp","Violamouth","BD9 20BD","New Jersey","BA5530538","94"," 2","16",NA,"L","1.0000000"
"24","","","","","","","","","","","","","","","","","","","","","",""
"25","  566","38035","4.980000e+17","Tito Lind","Breitenberg","male","1971-04-20","rjones@spencer.net","1241713113","5363223688","Suite 157","Oswaldo Mills","West Myrtie","BA28 3AC","Nebraska","BA8856280","71"," 4","20","","",""
"26","75081","38035 D","3.982337e+17","Tito Lind","Breitenberg","male","1971-04-20","rjones@spencer.net","1241713113","5363223688","Suite 157","Oswaldo Mills","West Myrtie","BA28 3AC","Nebraska","BA8856280","71"," 4","20",NA,"L","1.0000000"
"27","","","","","","","","","","","","","","","","","","","","","",""
"28","  596","125320 D","2.995916e+17","Danny Schaden","O'Keefe","male","1975-10-01","garett.moore@gmail.com"," 496112151","5055402866","Suite 870","Wunsch Prairie","Rennerland","CA8 3BC","Maryland","CC3160991","75","10"," 1","","",""
"29","96880","125320","1.690000e+17","Danny Schaden","O'Keefe","male","1975-10-01","garett.moore@gmail.com"," 496112151","5055402866","Suite 870","Wunsch Prairie","Rennerland","CA8 3BC","Maryland","CC3160991","75","10"," 1",NA,"L","1.0000000"
"30","","","","","","","","","","","","","","","","","","","","","",""
"31","  617","68304 D","8.653471e+17","Dr. Simeon Batz Jr.","Johnston","male","1988-02-26","lpfeffer@jenkins.com","1046327452","7058326494","Suite 610","Conroy Flat","Stevieshire","CB74 46CA","New Mexico","BA0042537","88"," 2","26","","",""
