"","id","X_recoid_","X_someid_","X_firstname_","X_lastname_","X_gender_","X_birth_date_","X_email_","X_mnumber_","X_hnumber_","X_addr1_","X_addr2_","X_cityname_","X_postcode_","X_county_","X_nis_","X_b_year_","X_b_month_","X_b_day_","is_match","Class","Weight"
"1","  11","63893","4.580000e+17","Mr. William Smith","Jast","male","1996-07-12","bartoletti.abraham@beahan.com","4959095572",NA,"Apt. 147","Kunze Skyway","Lemkefurt","AD54 8DB","New Jersey","BD8031561","96"," 7","12","","",""
"2","2075","63893 D","9.737233e+17","Mr. William Smith","Jast","","1996-07-12","bartoletti.abraham@beahan.com",NA,"1544252353","Apt. 147","Kunze Skyway","Lemkefurt","AD54 8DB","New Jersey","BD8031561","96"," 7","12",NA,"L","1.0000000"
"3","","","","","","","","","","","","","","","","","","","","","",""
"4"," 375","97856 D","3.863634e+17","Lacy Block","Koelpin","","1993-01-17","lauriane95@hotmail.com","1346165201","1095047688","Suite 889","Ratke Haven","Port Sydnieland","BB04 2BC","Connecticut","CB1486360","93"," 1","17","","",""
"5","2913","97856","3.230000e+17","Lacy Block","Koelpin","female","1993-01-17","lauriane95@hotmail.com","1346165201","1095047688","Suite 889","Ratke Haven","Port Sydnieland","BB04 2BC","Connecticut","CB1486360","93"," 1","17",NA,"L","1.0000000"
"6","","","","","","","","","","","","","","","","","","","","","",""
"7","1801","164958 D","8.433783e+17","Aylin Turcotte IV","Satterfield","female","1983-11-15","ephraim59@wiza.info","6880877644","2060293554","Apt. 968","Casper Mount","Kuhnport","CD4 5CC","","DA7093742","83","11","15","","",""
"8","2142","164958","6.540000e+17","Aylin Turcotte IV","Satterfield","female","1983-11-15","ephraim59@wiza.info","6880877644","2060293554","Apt. 968","Casper Mount","Kuhnport","CD4 5CC","Vermont","DA7093742","83","11","15",NA,"L","0.9484913"
"9","","","","","","","","","","","","","","","","","","","","","",""
"10","1444","79486","5.430000e+17","Mossie Langworth","Herman","female","1992-02-12","raynor.jon@lehner.com","1918406438","3887271854","Apt. 873","Wolff Mission","Aimeestad","BA03 27AA","Michigan","DB2293363","92"," 2","12","","",""
"11","3023","79486 D","9.662527e+17","Mossie Langworth","Herman","female","1992-02-12","raynor.jon@lehner.com","1918406438","3887271854","pt. 873","Wolff Mission","Aimeestad","BA03 27AA","Michigan","DB2293363","92"," 2","12",NA,"L","0.9025007"
"12","","","","","","","","","","","","","","","","","","","","","",""
"13","1560","48362","5.700000e+17","Cierra Johnson Sr.","Gutkowski","female","1972-10-05","bette.king@mclaughlin.org","1116306593","2472623035","Apt. 508","Dejon Trail","West Tayabury","BC88 14BD","North Carolina","DB5233812","72","10"," 5","","",""
"14","3579","48362 D","3.182861e+17","Cierra Johnson Sr.","Gutkowski","female","1972-10-05","bette.king@mclaughlin.org",NA,"2472623035","pt. 508","Dejon Trail","West Tayabury","BC88 14BD","North Carolina","DB5233812","72","10"," 5",NA,"L","0.9025007"
"15","","","","","","","","","","","","","","","","","","","","","",""
"16"," 257","131076 D","5.529646e+17","Dr. Terry Lesch","Rodriguez","male","1987-07-01","lind.jermain@wunsch.biz","4665297261","2583776745","Apt. 135","Bartoletti Mill","New Clay","","New Hampshire","BB0671451","87"," 7"," 1","","",""
"17","2763","131076","5.460000e+17","Dr. Terry Lesch","Rodriguez","male","1987-07-01","lind.jermain@wunsch.biz","4665297261","2583776745","Apt. 135","Bartoletti Mill","New Clay","BD3 7BA","New Hampshire","BB0671451","87"," 7"," 1",NA,"L","0.8930601"
"18","","","","","","","","","","","","","","","","","","","","","",""
"19","1624","10401","8.480000e+17","Dr. Branson Strosin","Kilback","male","1979-10-24","odell.rolfson@yahoo.com","9337170286",NA,"Suite 355","Streich Mountain","Jedediahview","AA29 4DD","Michigan","BD2582930","79","10","24","","",""
"20","3954","10401 D","6.418799e+17","Dr. Branson Strosin","Kilback","","1979-10-24","odell.rolfson@yahoo.com","9337170286","5195061821","Suite 355","Streich Mountain","Jedediahview","","Michigan","BD2582930","79","10","24",NA,"L","0.8930601"
"21","","","","","","","","","","","","","","","","","","","","","",""
